method,run,TED,TEDS,PCB,RFS,PCBS,AH_F1
baseline,flat_union_star,46.0,0.8122,17,0.0,0.929,0.4112
baseline,v2_input_star,103.0,0.2746,17,0.0,0.2322,0.1237
baseline,v3_input_star,23.0,0.8964,17,0.0,0.739,0.2902
MetaArbor,current_assembly,64.0,0.7311,18,0.3571,0.9167,0.8944
MetaArbor,default_cut,64.0,0.7311,18,0.3571,0.9167,0.8944
MetaArbor,strict_cut,100.0,0.2701,17,0.0,0.2033,0.4454
MetaArbor,frozen_v0.8_assembly,60.0,0.7479,19,0.3448,0.9145,0.8998
MetaArbor,frozen_v0.8_default_cut,60.0,0.7479,19,0.3448,0.9145,0.8998
MetaArbor,frozen_v0.8_strict_cut,99.0,0.2826,17,0.0,0.2106,0.451
OTHarmonizer,default,38.0,0.8397,17,0.4516,0.8976,0.9073
OTHarmonizer,seeded_v2f_a,47.0,0.7991,19,0.3448,0.8713,0.8829
OTHarmonizer,seeded_v2f_b,47.0,0.7991,19,0.3448,0.8713,0.8829
OTHarmonizer,seeded_v3f_a,57.0,0.7564,21,0.2759,0.8608,0.8695
OTHarmonizer,seeded_v3f_b,57.0,0.7564,21,0.2759,0.8608,0.8695
OTHarmonizer,v2_first,53.0,0.7745,15,0.4828,0.8744,0.8561
OTHarmonizer,v2f_r0,44.0,0.8136,18,0.4,0.8913,0.8848
OTHarmonizer,v2f_r1,54.0,0.7712,22,0.2667,0.8696,0.8713
OTHarmonizer,v2f_r2,48.0,0.7975,21,0.3226,0.9057,0.9355
OTHarmonizer,v2f_r3,52.0,0.7806,19,0.3871,0.8593,0.8884
OTHarmonizer,v2f_r4,44.0,0.8159,19,0.3871,0.9082,0.8932
OTHarmonizer,v3_first,61.0,0.7404,17,0.4138,0.8596,0.8454
OTHarmonizer,v3f_r0,57.0,0.7585,22,0.2667,0.8558,0.866
OTHarmonizer,v3f_r1,55.0,0.7669,22,0.2667,0.8712,0.8687
OTHarmonizer,v3f_r2,51.0,0.7848,20,0.3333,0.8679,0.8495
OTHarmonizer,v3f_r3,66.0,0.7227,22,0.2667,0.869,0.8447
OTHarmonizer,v3f_r4,45.0,0.8101,23,0.2581,0.886,0.8992
